TLA,Journal,Primary Discipline,SPIN Major Disciplines Combined,JCR Information,Other Relevant Indexing,Open Access (OA),APC (If OA),SAGE Path Status
EXT,Expository Times,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,"Medline, SCOPUS",No,,
FIS,Families in Society,Sociology,Education,Impact Factor,SCOPUS,No,,
FBR,Family Business Review,Business & Management,Business & Management,Impact Factor,,No,,
FLR,Federal Law Review,Criminology & Criminal Justice,Vocational & Professional Studies,,SCOPUS,No,,
FAP,Feminism & Psychology,Sociology,Gender & Sexuality Studies,Impact Factor,SCOPUS,No,,
FCX,Feminist Criminology,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
FER,Feminist Review,Sociology,Cultural Studies,Impact Factor,,No,,
FTH,Feminist Theology,"Religion, Theology and Biblical Studies",Gender & Sexuality Studies,,"ESCI, PMC, SCOPUS",No,,
FTY,Feminist Theory,Sociology,Gender & Sexuality Studies,Impact Factor,,No,,
FMX,Field Methods,Research Methods & Evaluation,Anthropology & Archaeology,Impact Factor,SCOPUS,No,,
FIB,FIIB Business Review,Economics & Development Studies,Business & Management,,,No,,
FLA,First Language,Language & Linguistics,Arts & Humanities,Impact Factor,"Medline, SCOPUS",No,,
FMS,FMS Journal of Management Thought,Business & Management,Business & Management,,SCOPUS,No,,
FOA,Focus on Autism and Other Developmental Disabilities,Education,Education,Impact Factor,SCOPUS,No,,
FNB,Food and Nutrition Bulletin,Public Health,Other Health Specialties,Impact Factor,"Medline, SCOPUS",No,,Included
FST,Food Science and Technology International,Pharmacology & Toxicology,Plant & Agricultural Sciences,Impact Factor,SCOPUS,No,,Included
FAI,Foot & Ankle International,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,SCOPUS,No,,
FAS,Foot and Ankle Specialist,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,,,No,,
FTR,Foreign Trade Review,Political Science & International Relations,Political Science & International Relations,,"PMC, SCOPUS",No,,
FOI,Forum Italicum,Language & Linguistics,Arts & Humanities,,,No,,
FRC,French Cultural Studies,Cultural Studies,Cultural Studies,Impact Factor,SCOPUS,No,,
GAC,Games and Culture,Sociology,Communication & Media Studies,Impact Factor,SCOPUS,No,,
GAS,Gender & Society,Sociology,Gender & Sexuality Studies,Impact Factor,SCOPUS,No,,
GMT,General Music Today,Education,Education,,"ESCI, PMC, SCOPUS",No,,
GJH,German Journal of Human Resource Management,Business & Management,Business & Management,Impact Factor,,No,,
GCQ,Gifted Child Quarterly,Education,Education,Impact Factor,"ESCI, PMC, SCOPUS",No,,
GCT,Gifted Child Today,Education,Education,,PMC,No,,Included
GEI,Gifted Education International,Education,Education,,,No,,
GBR,Global Business Review,Business & Management,Area & Ethnic Studies,,,No,,
EME,Global Journal of Emerging Market Economies,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
GMC,Global Media and Communication,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
GSP,Global Social Policy,"Psychology, Psychiatry & Counseling",Economics & Development Studies,,"Medline, PMC, SCOPUS",No,,
GSC,Global Studies of Childhood,Education,Cultural Studies,,"ESCI, SCOPUS",No,,Included
GOM,Group & Organization Management,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
GAQ,Group Analysis,"Psychology, Psychiatry & Counseling",Counseling & Psychotherapy,,,No,,
GPI,Group Processes & Intergroup Relations,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, PMC, SCOPUS",No,,
HAN,Hand,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,,,No,,Included
HTH,Hand Therapy,"Orthopedics, Biomechanics & Sports Medicine",Other Health Specialties,,SCOPUS,No,,Included
HPM,Handbook of Practice Management,Clinical Medicine,Clinical Medicine,,"PMC, SCOPUS",No,,
HEB,Health Education & Behavior,Public Health,Public Health,Impact Factor,,No,,Included
HEJ,Health Education Journal,Other Health Specialties,Economics & Development Studies,Impact Factor,"Medline, SCOPUS",No,,
HIM,Health Information Management Journal,Public Health,Public Health,Impact Factor,SCOPUS,No,,
HPP,Health Promotion Practice,Public Health,Public Health,,"Medline, SCOPUS",No,,Included
HSM,Health Services Management Research,Clinical Medicine,Business & Management,,"Medline, SCOPUS",No,,Included
HEA,Health: An Interdisciplinary Journal,Other Health Specialties,Education,Impact Factor,"Medline, SCOPUS",No,,
HMF,Healthcare Management Forum,Public Health,Public Health,,,No,,Included
HER,HERD: Health Environments Research & Design Journal,Public Health,Nursing,Impact Factor,"Medline, SCOPUS",No,,
HIP,High Performance Polymers,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"ESCI, PMC",No,,
HEF,Higher Education for the Future,Education,Education,,SCOPUS,No,,
HPI,HIP International,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,,No,,
HCI,Hispanic Health Care International,Nursing,Nursing,,,No,,Included
HJB,Hispanic Journal of Behavioral Sciences,"Psychology, Psychiatry & Counseling",Area & Ethnic Studies,Impact Factor,"PMC, SCOPUS",No,,
HSA,History and Sociology of South Asia,Area & Ethnic Studies,Area & Ethnic Studies,,"Medline, SCOPUS",No,,
HPY,History of Psychiatry,"Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,SCOPUS,No,,
HOS,History of Science,History,History,Impact Factor,SCOPUS,No,,
HHS,History of the Human Sciences,Science & Society Studies,History,Impact Factor,"PMC, SCOPUS",No,,
HOL,"Holocene, The","Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"Medline, SCOPUS",No,,
HHC,Home Health Care Management & Practice,Public Health,Nursing,,SCOPUS,No,,Included
HSX,Homicide Studies,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,"ESCI, SCOPUS",No,,
HPX,Hospital Pharmacy,Pharmacology & Toxicology,Life & Biomedical Sciences,,"Medline, SCOPUS",No,,Included
HET,Human and Experimental Toxicology,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
HFS,Human Factors,"Psychology, Psychiatry & Counseling",Materials Science & Engineering,Impact Factor,"ESCI, SCOPUS",No,,
HUM,Human Relations,Business & Management,Business & Management,Impact Factor,,No,,
HRD,Human Resource Development Review,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
HAS,Humanity & Society,Sociology,Arts & Humanities,,"Medline, SCOPUS",No,,
IFL,IFLA Journal,Vocational & Professional Studies,Vocational & Professional Studies,,,No,,
KSM,IIM Kozhikode Society & Management Review,Business & Management,Business & Management,,SCOPUS,No,,
ICL,"Illness, Crisis & Loss","Psychology, Psychiatry & Counseling",Counseling & Psychotherapy,,"ESCI, SCOPUS",No,,
ILR,ILRReview,Business & Management,Business & Management,Impact Factor,"Medline, PMC, SCOPUS",No,,
ICA,"Imagination, Cognition and Personality","Psychology, Psychiatry & Counseling",Psychology,,"ESCI, SCOPUS",No,,
IMP,Improving Schools,Education,Education,,"PMC, SCOPUS",No,,
ICN,Incarceration,0,#N/A,,SCOPUS,No,,
IOC,Index on Censorship,Communication & Media Studies,Communication & Media Studies,,,No,,
IQQ,India Quarterly: A Journal of International Affairs,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,No,,
IER,Indian Economic and Social History Review,Area & Ethnic Studies,History,Impact Factor,"ESCI, SCOPUS",No,,
IEJ,"Indian Economic Journal, The",Economics & Development Studies,Economics & Development Studies,,"ESCI, SCOPUS",No,,
IHR,"Indian Historical Review, The",History,Area & Ethnic Studies,,SCOPUS,No,,
IJC,Indian Journal of Corporate Governance,Business & Management,Business & Management,,SCOPUS,No,,
IJG,Indian Journal of Gender Studies,Sociology,Area & Ethnic Studies,Impact Factor,"Medline, PMC, SCOPUS",No,,
JHD,Indian Journal of Human Development,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
IPA,Indian Journal of Public Administration,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
IBE,Indoor and Built Environment,Materials Science & Engineering,"Geography, Earth & Environmental Science",Impact Factor,"ESCI, SCOPUS",No,,
IHE,Industry & Higher Education,Business & Management,Business & Management,,SCOPUS,No,,
IDV,Information Development,Vocational & Professional Studies,Vocational & Professional Studies,Impact Factor,,No,,
IVI,Information Visualization,Communication & Media Studies,Communication & Media Studies,Impact Factor,ESCI,No,,
INO,InnovAiT,Clinical Medicine,Clinical Medicine,,"Medline, PMC, SCOPUS",No,,
INV,Innovations,Public Health,Clinical Medicine,,,No,,Included
IOA,Insight on Africa,Area & Ethnic Studies,Area & Ethnic Studies,,"PMC, SCOPUS",No,,
ICB,Institutionalised Children Explorations and Beyond,0,#N/A,,"ESCI, SCOPUS",No,,
IAS,International Area Studies Review,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,No,,
IBM,International Bulletin of Mission Research,"Religion, Theology and Biblical Studies",Anthropology & Archaeology,,,No,,
GAZ,International Communication Gazette,Communication & Media Studies,Sociology,Impact Factor,SCOPUS,No,,
ICJ,International Criminal Justice Review,Criminology & Criminal Justice,Criminology & Criminal Justice,,SCOPUS,No,,
IJX,International Journal,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, SCOPUS",No,,
JAE,International Journal of Aeroacoustics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,
AHD,"International Journal of Aging and Human Development, The",Aging & Gerontology,Psychology,Impact Factor,SCOPUS,No,,Included
JAC,International Journal of Architectural Computing,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,No,,
JAO,"International Journal of Artificial Organs, The",Clinical Medicine,General Biology,Impact Factor,SCOPUS,No,,Included
JBD,International Journal of Behavioral Development,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"Medline, SCOPUS",No,,
IJB,International Journal of Bilingualism,Language & Linguistics,Arts & Humanities,Impact Factor,SCOPUS,No,,
JOB,International Journal of Business Communication,Communication & Media Studies,Business & Management,Impact Factor,SCOPUS,No,,
ICP,International Journal of Care Coordination,Cardiology & Cardiovascular Medicine,Nursing,,"Medline, PMC, SCOPUS",No,,Included
ICE,International Journal of Christianity & Education,"Religion, Theology and Biblical Studies",Education,,SCOPUS,No,,
COD,"International Journal of Community and Social Development, The",Economics & Development Studies,Sociology,,SCOPUS,No,,
COS,International Journal of Comparative Sociology,Sociology,Sociology,Impact Factor,"Medline, SCOPUS",No,,
CCM,International Journal of Cross Cultural Management,Business & Management,Business & Management,,"Medline, PMC, SCOPUS",No,,
ICS,International Journal of Cultural Studies,Cultural Studies,Anthropology & Archaeology,Impact Factor,SCOPUS,No,,
IJD,International Journal of Damage Mechanics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JDI,International Journal of Discrimination and the Law,Criminology & Criminal Justice,Vocational & Professional Studies,,"ESCI, SCOPUS",No,,
IJE,International Journal of Electrical Engineering Education,Materials Science & Engineering,Education,Impact Factor,"ESCI, SCOPUS",No,,
JER,International Journal of Engine Research,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
IEI,International Journal of Entrepreneurship and Innovation,Business & Management,Business & Management,,SCOPUS,No,,
EPJ,"International Journal of Evidence & Proof, The",Criminology & Criminal Justice,Vocational & Professional Studies,,SCOPUS,No,,
JOH,International Journal of Health Services,Public Health,Public Health,Impact Factor,SCOPUS,No,,
HPC,International Journal of High Performance Computing Applications,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",Impact Factor,"Medline, SCOPUS",No,,
IJL,"International Journal of Lower Extremity Wounds, The",Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,Included
IJH,International Journal of Maritime History,History,History,,SCOPUS,No,,
IJJ,International Journal of Mechanical Engineering Education,Materials Science & Engineering,Education,,SCOPUS,No,,
IJM,International Journal of Music Education,Arts & Humanities,Arts & Humanities,Impact Factor,"Medline, SCOPUS",No,,
IJO,International Journal of Offender Therapy and Comparative Criminology,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
HIJ,"International Journal of Press/Politics, The",Communication & Media Studies,Political Science & International Relations,Impact Factor,"Medline, SCOPUS",No,,
IJP,"International Journal of Psychiatry in Medicine, The","Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,SCOPUS,No,,
IJR,International Journal of Robotics Research,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",Impact Factor,"Medline, SCOPUS",No,,
IRM,International Journal of Rural Management,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
ISP,International Journal of Social Psychiatry,"Psychology, Psychiatry & Counseling",Clinical Medicine,Impact Factor,SCOPUS,No,,
IJS,International Journal of Surgical Pathology,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
IJT,International Journal of Toxicology,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
IAB,International Political Science Abstracts / Documentation Politique Internationale,Political Science & International Relations,Political Science & International Relations,,"ESCI, SCOPUS",No,,
IPS,International Political Science Review / Revue internationale de science politique,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, SCOPUS",No,,
IRX,International Regional Science Review,"Geography, Earth & Environmental Science",Economics & Development Studies,Impact Factor,SCOPUS,No,,
IRE,International Relations,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
IRS,International Review for the Sociology of Sport,Sociology,Sociology,Impact Factor,SCOPUS,No,,
IRV,International Review of Victimology,Criminology & Criminal Justice,Criminology & Criminal Justice,,SCOPUS,No,,
ISB,International Small Business Journal,Business & Management,Business & Management,Impact Factor,"Medline, SCOPUS",No,,
ISW,International Social Work,"Psychology, Psychiatry & Counseling",Social Work & Social Policy,Impact Factor,SCOPUS,No,,
ISS,International Sociology,Sociology,Sociology,Impact Factor,"ESCI, SCOPUS",No,,
ISQ,International Studies,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
INT,Interpretation,"Religion, Theology and Biblical Studies",Arts & Humanities,,SCOPUS,No,,
ISC,Intervention in School and Clinic,Education,Education,Impact Factor,,No,,
INE,Interventional Neuroradiology,Clinical Medicine,Clinical Medicine,Impact Factor,,No,,
IES,Irish Economic and Social History,Area & Ethnic Studies,History,,"ESCI, SCOPUS",No,,
IRJ,Irish Journal of Sociology,Sociology,Sociology,,SCOPUS,No,,
ITQ,Irish Theological Quarterly,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,SCOPUS,No,,
JNR,Jadavpur Journal of International Relations,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
DMS,JDMS - Journal of Defense Modeling and Simulation,Materials Science & Engineering,Political Science & International Relations,,"ESCI, Medline, SCOPUS",No,,
JCT,JDR Clinical and Translational Research,Clinical Medicine,Other Health Specialties,,,No,,
BRJ,Jindal Journal of Business Research,Business & Management,Business & Management,,SCOPUS,No,,
JEG,Journal for the Education of the Gifted,Education,Education,,SCOPUS,No,,Included
JHA,Journal for the History of Astronomy,History,History,Impact Factor,"Medline, PMC, SCOPUS",No,,
JNT,Journal for the Study of the New Testament,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,SCOPUS,No,,
JOT,Journal for the Study of the Old Testament,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,"Medline, SCOPUS",No,,
JSP,Journal for the Study of the Pseudepigrapha,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,SCOPUS,No,,
JVU,Journal for Vascular Ultrasound,Life & Biomedical Sciences,Clinical Medicine,,SCOPUS,No,,
JAF,"Journal of Accounting, Auditing & Finance",Business & Management,Business & Management,,"Medline, SCOPUS",No,,
JAR,Journal of Adolescent Research,"Psychology, Psychiatry & Counseling",Family Studies,Impact Factor,SCOPUS,No,,
ADU,Journal of Adult and Continuing Education,Education,Education,,SCOPUS,No,,Included
JOA,Journal of Advanced Academics,Education,Education,,SCOPUS,No,,Included
AAD,Journal of Advanced Oral Research,Clinical Medicine,Other Health Specialties,,,No,,Included
ADV,Journal of Advertising Education,Marketing & Hospitality,Communication & Media Studies,,"ESCI, SCOPUS",No,,
JAH,Journal of Aging and Health,Aging & Gerontology,Aging & Gerontology,Impact Factor,"Medline, SCOPUS",No,,
ANS,Journal of Anthropological Survey of India,0,Anthropology & Archaeology,,"Medline, SCOPUS",No,,
JAB,"Journal of Applied Behavioral Science, The",Business & Management,Psychology,Impact Factor,"Medline, SCOPUS",No,,
JAG,Journal of Applied Gerontology,Aging & Gerontology,Aging & Gerontology,Impact Factor,"Medline, SCOPUS",No,,Included
JAX,Journal of Applied Social Science,Sociology,Sociology,,SCOPUS,No,,
JAS,Journal of Asian and African Studies,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,"Medline, SCOPUS",No,,
ECI,Journal of Asian Economic Integration,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
AIA,Journal of Asian Security and International Affairs,Political Science & International Relations,Political Science & International Relations,,"Medline, SCOPUS",No,,
JAD,Journal of Attention Disorders,"Psychology, Psychiatry & Counseling",Education,Impact Factor,"ESCI, SCOPUS",No,,
JBC,Journal of Bioactive and Compatible Polymers,Materials Science & Engineering,Life & Biomedical Sciences,Impact Factor,,No,,
JBR,Journal of Biological Rhythms,Neurology,General Biology,Impact Factor,SCOPUS,No,,
JBA,Journal of Biomaterials Applications,Materials Science & Engineering,Life & Biomedical Sciences,Impact Factor,SCOPUS,No,,
JBP,Journal of Black Psychology,"Psychology, Psychiatry & Counseling",Area & Ethnic Studies,Impact Factor,"Medline, SCOPUS",No,,
JBS,Journal of Black Studies,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,SCOPUS,No,,
JEN,Journal of Building Physics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JBT,Journal of Business and Technical Communication,Business & Management,Business & Management,Impact Factor,"Medline, SCOPUS",No,,
CPT,Journal of Cardiovascular Pharmacology and Therapeutics,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
JCA,Journal of Career Assessment,"Psychology, Psychiatry & Counseling",Education,Impact Factor,"Medline, PMC, SCOPUS",No,,
JCD,Journal of Career Development,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
JEL,Journal of Cases in Educational Leadership,Education,Education,,SCOPUS,No,,
CEL,Journal of Cellular Plastics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JCB,Journal of Cerebral Blood Flow and Metabolism,Life & Biomedical Sciences,Clinical Medicine,Impact Factor,SCOPUS,No,,
CHL,Journal of Chemical Research,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",Impact Factor,"ESCI, PMC, SCOPUS",No,,
CHC,Journal of Child Health Care,Other Health Specialties,Public Health,Impact Factor,"ESCI, Medline, PMC, SCOPUS",No,,
JCN,Journal of Child Neurology,Neurology,Clinical Medicine,Impact Factor,SCOPUS,No,,
JCS,Journal of Classical Sociology,Sociology,Sociology,,"PMC, SCOPUS",No,,
EDM,Journal of Cognitive Engineering and Decision Making,"Psychology, Psychiatry & Counseling",Vocational & Professional Studies,,SCOPUS,No,,
CSR,"Journal of College Student Retention: Research, Theory & Practice",Education,Education,,SCOPUS,No,,Included
JCL,Journal of Commonwealth Literature,Language & Linguistics,Study Skills,,SCOPUS,No,,
JCI,Journal of Communication Inquiry,Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
JCM,Journal of Composite Materials,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,
JCR,Journal of Conflict Resolution,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, SCOPUS",No,,
JOC,Journal of Consumer Culture,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"ESCI, SCOPUS",No,,
CCJ,Journal of Contemporary Criminal Justice,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
JCE,Journal of Contemporary Ethnography,Sociology,Cultural Studies,Impact Factor,SCOPUS,No,,
JCH,Journal of Contemporary History,History,History,Impact Factor,"ESCI, SCOPUS",No,,
JCX,Journal of Correctional Health Care,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,"ESCI, SCOPUS",No,,
JCV,Journal of Creating Value,Business & Management,Business & Management,,"Medline, SCOPUS",No,,
CRC,Journal of Creative Communications,Communication & Media Studies,Communication & Media Studies,,"Medline, SCOPUS",No,,
CLJ,"Journal of Criminal Law, The",Criminology & Criminal Justice,Vocational & Professional Studies,,SCOPUS,No,,
JCC,Journal of Cross-Cultural Psychology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
CMS,Journal of Cutaneous Medicine and Surgery,Clinical Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,Included
JDR,Journal of Dental Research,Clinical Medicine,Other Health Specialties,Impact Factor,"ESCI, SCOPUS",No,,
JDS,Journal of Developing Societies,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
JDP,Journal of Development Policy and Practice,Economics & Development Studies,Economics & Development Studies,,"Medline, PMC, SCOPUS",No,,
DST,Journal of Diabetes Science and Technology,Clinical Medicine,Public Health,,SCOPUS,No,,Included
JDM,Journal of Diagnostic Medical Sonography,Clinical Medicine,Clinical Medicine,,,No,,
DPS,Journal of Disability Policy Studies,Education,Education,Impact Factor,SCOPUS,No,,
DRE,Journal of Drug Education: Substance Abuse Research and Prevention,Criminology & Criminal Justice,Public Health,,,No,,
JOD,Journal of Drug Issues,Criminology & Criminal Justice,Counseling & Psychotherapy,Impact Factor,"Medline, SCOPUS",No,,
JEA,"Journal of Early Adolescence, The",Sociology,Family Studies,Impact Factor,SCOPUS,No,,
ECL,Journal of Early Childhood Literacy,Education,Education,,SCOPUS,No,,Included
ECR,Journal of Early Childhood Research,Education,Public Health,,"ESCI, SCOPUS",No,,Included
JEI,Journal of Early Intervention,Education,Education,Impact Factor,,No,,
JEX,Journal of Education,Education,Education,,SCOPUS,No,,
JSD,Journal of Education for Sustainable Development,"Geography, Earth & Environmental Science",Economics & Development Studies,,SCOPUS,No,,
JEB,Journal of Educational and Behavioral Statistics,Education,Education,Impact Factor,SCOPUS,No,,
JEC,Journal of Educational Computing Research,Education,Education,Impact Factor,SCOPUS,No,,
ETS,Journal of Educational Technology Systems,Education,"Maths, Physics, Chemistry & Computing",,SCOPUS,No,,Included
EGA,Journal of Egyptian Archaeology,Anthropology & Archaeology,Anthropology & Archaeology,,SCOPUS,No,,
JEP,Journal of Elastomers and Plastics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
EMF,Journal of Emerging Market Finance,Economics & Development Studies,Economics & Development Studies,,"Medline, SCOPUS",No,,
EBX,Journal of Emotional and Behavioral Disorders,Education,Education,Impact Factor,"ESCI, SCOPUS",No,,
JRE,Journal of Empirical Research on Human Research Ethics,Research Methods & Evaluation,Research Methods & Evaluation,Impact Factor,SCOPUS,No,,
JET,Journal of Endovascular Therapy,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,ESCI,No,,
ENG,Journal of English Linguistics,Language & Linguistics,Communication & Media Studies,Impact Factor,,No,,
JOE,Journal of Entrepreneurship,Business & Management,Business & Management,,,No,,
EIE,Journal of Entrepreneurship and Innovation in Emerging Economies,Business & Management,Business & Management,,SCOPUS,No,,
JED,"Journal of Environment & Development, The",Political Science & International Relations,"Geography, Earth & Environmental Science",Impact Factor,"ESCI, SCOPUS",No,,
ESP,Journal of European Social Policy,"Psychology, Psychiatry & Counseling",Social Work & Social Policy,Impact Factor,SCOPUS,No,,
JES,Journal of European Studies,Arts & Humanities,Cultural Studies,,"Medline, PMC, SCOPUS",No,,
JEE,Journal of Experiential Education,Education,Education,,SCOPUS,No,,
JFH,Journal of Family History,Sociology,Sociology,Impact Factor,SCOPUS,No,,
JFI,Journal of Family Issues,Sociology,Sociology,Impact Factor,"Medline, SCOPUS",No,,
JFN,Journal of Family Nursing,Public Health,Public Health,Impact Factor,SCOPUS,No,,Included
JFM,Journal of Feline Medicine and Surgery,Other Health Specialties,Other Health Specialties,Impact Factor,"Medline, SCOPUS",No,,
JFS,Journal of Fire Sciences,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,,No,,
GEM,Journal of General Management,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
JGM,Journal of Generic Medicines,Other Health Specialties,Clinical Medicine,,"Medline, SCOPUS",No,,
JGP,Journal of Geriatric Psychiatry and Neurology,Aging & Gerontology,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
JHS,Journal of Hand Surgery (European Volume),"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,Impact Factor,SCOPUS,No,,
HSB,Journal of Health and Social Behavior,Sociology,Sociology,Impact Factor,"ESCI, Medline, SCOPUS",No,,
JHM,Journal of Health Management,Business & Management,Public Health,,"ESCI, Medline, SCOPUS",No,,
HPQ,Journal of Health Psychology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, PMC, SCOPUS",No,,
HSR,Journal of Health Services Research & Policy,Public Health,Social Work & Social Policy,Impact Factor,SCOPUS,No,,Included
HMJ,Journal of Heritage Management,Cultural Studies,Cultural Studies,,SCOPUS,No,,
JHH,Journal of Hispanic Higher Education,Education,Education,,"Medline, SCOPUS",No,,
JHC,Journal of Histochemistry & Cytochemistry,Life & Biomedical Sciences,Life & Biomedical Sciences,Impact Factor,,No,,
JHR,Journal of Historical Research in Music Education,Education,History,,"Medline, SCOPUS",No,,Included
JHN,Journal of Holistic Nursing,Other Health Specialties,Other Health Specialties,,SCOPUS,No,,
JHT,Journal of Hospitality & Tourism Research,Marketing & Hospitality,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
JHL,Journal of Human Lactation,Nursing,Nursing,Impact Factor,"ESCI, SCOPUS",No,,
JHV,Journal of Human Values,Business & Management,Business & Management,,"Medline, SCOPUS",No,,
JHP,Journal of Humanistic Psychology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, SCOPUS",No,,
JIO,Journal of Indian Orthodontic Society,0,Other Health Specialties,,SCOPUS,No,,
JIR,Journal of Industrial Relations,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
JIT,Journal of Industrial Textiles,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,
BJI,Journal of Infection Prevention,Clinical Medicine,Public Health,,ESCI,No,,
JIS,Journal of Information Science,Vocational & Professional Studies,Vocational & Professional Studies,Impact Factor,"Medline, SCOPUS",No,,
JIN,Journal of Information Technology,Science & Society Studies,Business & Management,Impact Factor,SCOPUS,No,,
JOI,Journal of Infrastructure Development,Business & Management,Business & Management,,"ESCI, Medline, SCOPUS",No,,
JLD,Journal of Intellectual Disabilities,Education,Public Health,,SCOPUS,No,,Included
JIM,Journal of Intelligent Material Systems and Structures,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JIC,Journal of Intensive Care Medicine,Clinical Medicine,Nursing,Impact Factor,"ESCI, SCOPUS",No,,
JIE,Journal of Interdisciplinary Economics,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
JIG,Journal of International Marketing,Marketing & Hospitality,Business & Management,Impact Factor,SCOPUS,No,,
IPT,Journal of International Political Theory,Political Science & International Relations,Political Science & International Relations,,SCOPUS,No,,
JIV,Journal of Interpersonal Violence,Criminology & Criminal Justice,Interpersonal/Domestic Violence,Impact Factor,"ESCI, Medline, SCOPUS",No,,
LRS,Journal of Land and Rural Studies,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
JLS,Journal of Language and Social Psychology,Language & Linguistics,Psychology,Impact Factor,"Medline, SCOPUS",No,,
LME,"Journal of Law, Medicine & Ethics",Clinical Medicine,Public Health,Impact Factor,SCOPUS,No,,
